date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,net_pnl
2018-05-10,2018-05-10 09:35:00,10766.95,2018-05-10 15:15:00,10711.95,-1,55.0000,54.9340
2018-05-11,2018-05-11 10:00:00,10749.8,2018-05-11 15:15:00,10802.65,1,52.8500,52.7866
2018-05-14,2018-05-14 09:40:00,10827.45,2018-05-14 15:15:00,10812.25,1,-15.2000,-15.2182
2018-05-15,2018-05-15 09:50:00,10890.1,2018-05-15 15:15:00,10805.35,1,-84.7500,-84.8517
2018-05-16,2018-05-16 09:30:00,10730.95,2018-05-16 15:15:00,10747.45,-1,-16.5000,-16.5198
2018-05-18,2018-05-18 10:50:00,10660.95,2018-05-18 15:15:00,10599.6,1,-61.3500,-61.4236
2018-05-21,2018-05-21 10:00:00,10586.2,2018-05-21 15:15:00,10520.35,-1,65.8500,65.7710
2018-05-23,2018-05-23 09:45:00,10510.7,2018-05-23 15:15:00,10420.95,-1,89.7500,89.6423
2018-05-24,2018-05-24 10:55:00,10469.15,2018-05-24 15:15:00,10513.15,1,44.0000,43.9472
2018-05-25,2018-05-25 09:30:00,10569.55,2018-05-25 15:15:00,10596.85,1,27.3000,27.2672
2018-05-28,2018-05-28 10:15:00,10673.6,2018-05-28 15:15:00,10689.9,1,16.3000,16.2804
2018-05-29,2018-05-29 12:30:00,10669.6,2018-05-29 15:15:00,10636.95,-1,32.6500,32.6108
2018-05-31,2018-05-31 11:55:00,10657.65,2018-05-31 15:15:00,10733.2,1,75.5500,75.4593
2018-06-01,2018-06-01 09:30:00,10740.9,2018-06-01 15:15:00,10701.35,-1,39.5500,39.5025
2018-06-04,2018-06-04 09:30:00,10710.9,2018-06-04 15:15:00,10635.1,-1,75.8000,75.7090
2018-06-05,2018-06-05 09:30:00,10598.9,2018-06-05 15:15:00,10588.15,-1,10.7500,10.7371
2018-06-06,2018-06-06 09:30:00,10601.75,2018-06-06 15:15:00,10683.1,1,81.3500,81.2524
2018-06-07,2018-06-07 09:35:00,10757.6,2018-06-07 15:15:00,10773.75,-1,-16.1500,-16.1694
2018-06-08,2018-06-08 09:40:00,10740.35,2018-06-08 15:15:00,10772.65,1,32.3000,32.2612
2018-06-11,2018-06-11 09:30:00,10819.05,2018-06-11 15:15:00,10781.95,1,-37.1000,-37.1445
2018-06-12,2018-06-12 09:30:00,10799.05,2018-06-12 15:15:00,10837.4,-1,-38.3500,-38.3960
2018-06-13,2018-06-13 09:40:00,10853.55,2018-06-13 15:15:00,10858.2,-1,-4.6500,-4.6556
2018-06-14,2018-06-14 09:30:00,10828.7,2018-06-14 15:15:00,10805.7,1,-23.0000,-23.0276
2018-06-15,2018-06-15 09:35:00,10813.85,2018-06-15 15:15:00,10825,-1,-11.1500,-11.1634
2018-06-18,2018-06-18 09:30:00,10809.4,2018-06-18 15:15:00,10797,-1,12.4000,12.3851
2018-06-19,2018-06-19 09:50:00,10748.65,2018-06-19 15:15:00,10713.1,-1,35.5500,35.5073
2018-06-20,2018-06-20 09:35:00,10735.75,2018-06-20 15:15:00,10774.7,-1,-38.9500,-38.9967
2018-06-21,2018-06-21 09:30:00,10779.5,2018-06-21 15:15:00,10743.7,-1,35.8000,35.7570
2018-06-22,2018-06-22 12:00:00,10748.8,2018-06-22 15:15:00,10828.3,1,79.5000,79.4046
2018-06-25,2018-06-25 11:05:00,10796.25,2018-06-25 15:15:00,10763.75,-1,32.5000,32.4610
2018-06-26,2018-06-26 09:30:00,10762.95,2018-06-26 15:15:00,10768.45,1,5.5000,5.4934
2018-06-27,2018-06-27 09:45:00,10774.85,2018-06-27 15:15:00,10664.35,1,-110.5000,-110.6326
2018-06-28,2018-06-28 11:25:00,10636.1,2018-06-28 15:15:00,10587.5,-1,48.6000,48.5417
2018-07-03,2018-07-03 09:35:00,10661.5,2018-07-03 15:15:00,10695.35,1,33.8500,33.8094
2018-07-04,2018-07-04 09:30:00,10686.95,2018-07-04 15:15:00,10771.35,-1,-84.4000,-84.5013
2018-07-05,2018-07-05 10:35:00,10747,2018-07-05 15:15:00,10755.5,-1,-8.5000,-8.5102
2018-07-06,2018-07-06 09:35:00,10772.1,2018-07-06 15:15:00,10768.35,1,-3.7500,-3.7545
2018-07-09,2018-07-09 09:30:00,10828.25,2018-07-09 15:15:00,10851.15,-1,-22.9000,-22.9275
2018-07-10,2018-07-10 09:30:00,10906.6,2018-07-10 15:15:00,10944.95,1,38.3500,38.3040
