date,entry_price,exit_price,signal,gross_pnl,net_pnl,cum_pnl,running_max,drawdown
2020-07-29,11314.15,11206.35,-1,107.8,107.9294,726.3532,2977.087,-2250.734
2020-07-30,11278.3,11107.9,1,-170.4,-170.1955,556.1577,2977.087,-2420.929
2020-07-31,11130.55,11070.15,1,-60.4,-60.32752,495.8301,2977.087,-2481.257
2020-08-03,10979.6,10892.65,-1,86.95,87.05434,582.8845,2977.087,-2394.202
2020-08-04,10914.2,11096.4,-1,-182.2,-182.4186,400.4658,2977.087,-2576.621
2020-08-05,11178.9,11103.9,-1,75,75.09,475.5558,2977.087,-2501.531
2020-08-10,11320.55,11268.35,1,-52.2,-52.13736,423.4185,2977.087,-2553.668
2020-08-11,11368.7,11323.2,1,-45.5,-45.4454,377.9731,2977.087,-2599.114
2020-08-12,11270.7,11310.05,1,39.35,39.30278,417.2759,2977.087,-2559.811
2020-08-13,11356.25,11297.65,1,-58.6,-58.52968,358.7462,2977.087,-2618.341
2020-08-14,11356.7,11178,1,-178.7,-178.4856,180.2606,2977.087,-2796.826
2020-08-17,11224.15,11241.7,1,17.55,17.52894,197.7896,2977.087,-2779.297
2020-08-18,11317.85,11383.5,1,65.65,65.57122,263.3608,2977.087,-2713.726
2020-08-19,11448.5,11403.9,1,-44.6,-44.54648,218.8143,2977.087,-2758.273
2020-08-20,11335.75,11310.4,1,-25.35,-25.31958,193.4947,2977.087,-2783.592
2020-08-21,11401.75,11369.05,-1,32.7,32.73924,226.234,2977.087,-2750.853
2020-08-24,11427.2,11467.3,-1,-40.1,-40.14812,186.0858,2977.087,-2791.001
2020-08-25,11521.2,11470,1,-51.2,-51.13856,134.9473,2977.087,-2842.14
2020-08-26,11495.25,11551.25,-1,-56,-56.0672,78.88008,2977.087,-2898.207
2020-08-27,11591.05,11555.6,-1,35.45,35.49254,114.3726,2977.087,-2862.714
2020-08-28,11633.6,11643.7,1,10.1,10.08788,124.4605,2977.087,-2852.626
2020-08-31,11729.2,11402.4,-1,326.8,327.1922,451.6527,2977.087,-2525.434
2020-09-01,11496.65,11477.4,1,-19.25,-19.2269,432.4258,2977.087,-2544.661
2020-09-02,11500.7,11529.8,1,29.1,29.06508,461.4908,2977.087,-2515.596
2020-09-03,11527.6,11525.5,-1,2.1,2.10252,463.5934,2977.087,-2513.494
2020-09-04,11334.9,11343.25,-1,-8.35,-8.36002,455.2333,2977.087,-2521.854
2020-09-07,11310.35,11356.55,-1,-46.2,-46.25544,408.9779,2977.087,-2568.109
2020-09-08,11342.6,11325.4,-1,17.2,17.22064,426.1985,2977.087,-2550.888
